Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",212.48,1.3,+0.62%,215.78,211.63,51314000,2025-07-21
ABNB,"Airbnb Inc Cl A",138.07,-1.27,-0.91%,139.8,137.96,2696800,2025-07-21
ADBE,"Adobe Systems Inc",367.68,1.89,+0.52%,368.28,363.13,2764100,2025-07-21
ADI,"Analog Devices",240.48,-1.37,-0.57%,245.72,240.35,2992100,2025-07-21
ADP,"Automatic Data Processing",300.9,-0.89,-0.29%,303.3,300.75,949600,2025-07-21
ADSK,"Autodesk Inc",295.16,-1.87,-0.63%,298.77,294.81,1592000,2025-07-21
AEP,"American Electric Power Company",108.54,1.14,+1.06%,109.08,107.5,2933200,2025-07-21
AMAT,"Applied Materials",192.61,2.17,+1.14%,194.4,190.78,5059400,2025-07-21
AMD,"Adv Micro Devices",157,0.01,+0.01%,160.34,156.92,38834500,2025-07-21
AMGN,"Amgen Inc",295.87,1.11,+0.38%,297.09,293.6,2025000,2025-07-21
AMZN,"Amazon.com Inc",229.3,3.17,+1.40%,229.69,225.65,40259000,2025-07-21
APP,"Applovin Corp Cl A",366.17,1.71,+0.47%,375.5,359.4,4578400,2025-07-21
ARM,"Arm Holdings Plc ADR",161.92,5.18,+3.30%,164.58,158.19,5445000,2025-07-21
ASML,"Asml Holdings NY Reg ADR",719.68,-14.9,-2.03%,732.9,719.32,2644400,2025-07-21
AVGO,"Broadcom Ltd",288.21,4.87,+1.72%,290.54,283.63,17707701,2025-07-21
AXON,"Axon Enterprise Inc",751.55,-4.54,-0.60%,758.25,741.91,377300,2025-07-21
AZN,"Astrazeneca Plc ADR",68.72,-0.07,-0.10%,69.37,68.61,3203600,2025-07-21
BIIB,"Biogen Inc",122.68,-2.31,-1.85%,125.42,121.05,1402900,2025-07-21
BKNG,"Booking Holdings Inc",5677.15,-25.75,-0.45%,5716.5,5649.94,156200,2025-07-21
BKR,"Baker Hughes Company",39.85,0.13,+0.33%,40.21,39.47,9310800,2025-07-21
CCEP,"Coca-Cola Europacific Partners Plc",97.61,0.77,+0.80%,97.92,96.72,1180700,2025-07-21
CDNS,"Cadence Design Sys",316.32,0.75,+0.24%,318.83,315.04,1042000,2025-07-21
CDW,"CDW Corp",176.87,-2.72,-1.51%,180.11,176.76,589600,2025-07-21
CEG,"Constellation Energy Corp",317.88,-3.54,-1.10%,325.64,316.65,1936900,2025-07-21
CHTR,"Charter Communications Inc",388.89,6.81,+1.78%,389.87,384.03,1367200,2025-07-21
CMCSA,"Comcast Corp A",35.01,0.47,+1.36%,35.1,34.67,15812899,2025-07-21
COST,"Costco Wholesale",947.56,-3.39,-0.36%,955.76,946.6,1741300,2025-07-21
CPRT,"Copart Inc",46.03,0.05,+0.11%,46.39,45.96,5723000,2025-07-21
CRWD,"Crowdstrike Holdings Inc",481.58,5.62,+1.18%,490.04,474.11,3411600,2025-07-21
CSCO,"Cisco Systems Inc",68.34,0.29,+0.43%,68.62,67.79,14672700,2025-07-21
CSGP,"Costar Group Inc",85.01,0.31,+0.37%,85.53,84.8,2874100,2025-07-21
CSX,"CSX Corp",34.36,-0.03,-0.09%,34.74,34.27,12476100,2025-07-21
CTAS,"Cintas Corp",221.32,-0.62,-0.28%,223.18,220.5,1523600,2025-07-21
CTSH,"Cognizant Tech Sol",75.42,-0.26,-0.34%,76.11,75.32,1973400,2025-07-21
DASH,"Doordash Inc Cl A",240.53,1.36,+0.57%,242.65,237.68,2464500,2025-07-21
DDOG,"Datadog Inc Cl A",145.27,0.25,+0.17%,146.12,143.64,3681300,2025-07-21
DXCM,"Dexcom Inc",84.03,0.14,+0.17%,84.5,83.3,2078400,2025-07-21
EA,"Electronic Arts Inc",153.39,3.28,+2.19%,153.59,149.79,2758300,2025-07-21
EXC,"Exelon Corp",43.73,0.33,+0.76%,43.96,43.34,5093500,2025-07-21
FANG,"Diamondback Energy",139.84,-1.53,-1.08%,141.67,139.75,1296200,2025-07-21
FAST,"Fastenal Company",46.02,-0.04,-0.09%,46.53,45.88,5933400,2025-07-21
FTNT,"Fortinet Inc",106.94,1.52,+1.44%,107.52,104.36,3533500,2025-07-21
GEHC,"GE Healthcare Technologies Inc",74.16,-1.8,-2.37%,75.9,74.1,3847100,2025-07-21
GFS,"Globalfoundries Inc",40.58,0.25,+0.62%,41.69,40.54,1207400,2025-07-21
GILD,"Gilead Sciences Inc",108.28,0.06,+0.06%,109.38,107.75,3573200,2025-07-21
GOOG,"Alphabet Cl C",191.15,5.21,+2.80%,191.26,187.05,24568000,2025-07-21
GOOGL,"Alphabet Cl A",190.1,5.04,+2.72%,190.29,186.15,45715199,2025-07-21
HON,"Honeywell International Inc",235.22,-1.32,-0.56%,238.35,235.18,2894000,2025-07-21
IDXX,"Idexx Laboratories",520.87,6.26,+1.22%,521.12,513.02,486700,2025-07-21
INTC,"Intel Corp",23.26,0.16,+0.69%,23.83,23.16,61554602,2025-07-21
INTU,"Intuit Inc",763.69,11.06,+1.47%,767.93,751.51,1411700,2025-07-21
ISRG,"Intuitive Surg Inc",516.12,-2.5,-0.48%,523.09,514.96,1638800,2025-07-21
KDP,"Keurig Dr Pepper Inc",33.32,-0.22,-0.66%,33.67,33.22,10604601,2025-07-21
KHC,"Kraft Heinz Company",27.48,-0.34,-1.22%,28.02,27.44,17893900,2025-07-21
KLAC,"K L A-Tencor Corp",937.76,6.64,+0.71%,945.01,925.65,673700,2025-07-21
LIN,"Linde Plc",470.43,5.42,+1.17%,476.23,464.22,1797700,2025-07-21
LRCX,"Lam Research Corp",101.74,1.08,+1.07%,102.59,100.73,7021200,2025-07-21
LULU,"Lululemon Athletica",223.21,-6.56,-2.86%,230.5,222.65,2981200,2025-07-21
MAR,"Marriot Int Cl A",271.56,-1.02,-0.37%,274.7,271.21,1294300,2025-07-21
MCHP,"Microchip Technology",73.85,-0.93,-1.24%,76.09,73.8,6073100,2025-07-21
MDLZ,"Mondelez Intl Inc",69.42,-0.39,-0.56%,70.5,69.21,6118000,2025-07-21
