Rank,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,14.15%,172.41,-0.59,-0.34%
2,Microsoft,MSFT,12.75%,510.05,-1.65,-0.32%
3,Apple Inc.,AAPL,10.61%,211.18,1.16,0.55%
4,Amazon,AMZN,8.08%,226.13,2.25,1.01%
5,Meta Platforms,META,5.96%,704.28,2.87,0.41%
6,Broadcom Inc.,AVGO,4.48%,283.34,-3.11,-1.09%
7,Alphabet Inc. (Class A),GOOGL,3.89%,185.06,1.48,0.81%
8,Alphabet Inc. (Class C),GOOG,3.69%,185.94,1.24,0.67%
9,Tesla Inc.,TSLA,3.57%,329.65,10.24,3.21%
10,Netflix,NFLX,1.73%,1209.24,-64.93,-5.10%
11,Costco,COST,1.42%,950.95,-2.96,-0.31%
12,Palantir Technologies,PLTR,1.22%,153.52,-0.47,-0.31%
13,ASML Holding,ASML,0.97%,734.58,-10.33,-1.39%
14,Cisco,CSCO,0.91%,68.05,-0.25,-0.37%
15,T-Mobile US,TMUS,0.87%,227.21,0.18,0.08%
16,Advanced Micro Devices Inc.,AMD,0.86%,156.99,-3.42,-2.13%
17,Linde plc,LIN,0.74%,465.01,3.72,0.81%
18,AstraZeneca,AZN,0.72%,68.79,-0.47,-0.68%
19,Intuit,INTU,0.71%,752.63,-2.74,-0.36%
20,Texas Instruments,TXN,0.66%,216.62,0.03,0.01%
21,PepsiCo,PEP,0.66%,143.24,-2.20,-1.51%
22,Intuitive Surgical,ISRG,0.63%,518.62,2.46,0.48%
23,Booking Holdings,BKNG,0.62%,5702.90,18.96,0.33%
24,Qualcomm,QCOM,0.57%,154.80,2.19,1.44%
25,Arm Holdings,ARM,0.56%,156.74,-0.44,-0.28%
26,Shopify,SHOP,0.55%,127.07,0.32,0.25%
27,Amgen,AMGN,0.53%,294.76,-3.49,-1.17%
28,Adobe Inc.,ADBE,0.52%,365.79,-0.66,-0.18%
29,PDD Holdings,PDD,0.52%,109.00,1.05,0.97%
30,Applied Materials,AMAT,0.51%,190.44,-2.08,-1.08%
31,Honeywell,HON,0.51%,236.54,-1.83,-0.77%
32,Gilead Sciences,GILD,0.45%,108.22,-0.58,-0.53%
33,Palo Alto Networks,PANW,0.44%,195.78,-0.50,-0.25%
34,Comcast,CMCSA,0.43%,34.54,-0.16,-0.46%
35,Lam Research,LRCX,0.43%,100.66,-0.13,-0.13%
