Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 09:00:00+00:00,AAPL,228.51,235.72,228.51,235.67,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:01:00+00:00,AAPL,235.71,235.71,235.65,235.65,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:02:00+00:00,AAPL,235.67,235.84,235.62,235.84,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:03:00+00:00,AAPL,235.86,235.98,235.86,235.98,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:04:00+00:00,AAPL,235.94,236.24,235.94,236.23,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:05:00+00:00,AAPL,236.34,236.42,236.0,236.0,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:06:00+00:00,AAPL,235.88,235.88,235.8,235.87,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:07:00+00:00,AAPL,235.87,235.93,235.87,235.9,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:08:00+00:00,AAPL,235.81,235.9,235.81,235.81,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:09:00+00:00,AAPL,235.81,235.81,235.78,235.78,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:10:00+00:00,AAPL,235.85,235.85,235.84,235.84,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:11:00+00:00,AAPL,235.78,235.78,235.75,235.75,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:12:00+00:00,AAPL,235.78,235.78,235.64,235.64,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:13:00+00:00,AAPL,235.66,235.7,235.64,235.7,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:14:00+00:00,AAPL,235.72,235.78,235.72,235.78,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:15:00+00:00,AAPL,235.67,235.67,235.57,235.57,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:16:00+00:00,AAPL,235.58,235.58,235.44,235.44,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:18:00+00:00,AAPL,235.4,235.4,235.4,235.4,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:19:00+00:00,AAPL,235.44,235.44,235.44,235.44,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:20:00+00:00,AAPL,235.46,235.53,235.46,235.5,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:21:00+00:00,AAPL,235.51,235.58,235.51,235.58,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:22:00+00:00,AAPL,235.58,235.6,235.58,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:23:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:24:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:25:00+00:00,AAPL,235.55,235.55,235.46,235.46,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:26:00+00:00,AAPL,235.52,235.54,235.51,235.51,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:27:00+00:00,AAPL,235.48,235.48,235.48,235.48,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:28:00+00:00,AAPL,235.55,235.55,235.41,235.41,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:29:00+00:00,AAPL,235.43,235.45,235.41,235.45,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:30:00+00:00,AAPL,235.45,235.51,235.4,235.42,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:31:00+00:00,AAPL,235.49,235.49,235.44,235.44,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:34:00+00:00,AAPL,235.48,235.48,235.48,235.48,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:36:00+00:00,AAPL,235.62,235.62,235.54,235.54,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:37:00+00:00,AAPL,235.66,235.66,235.66,235.66,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:38:00+00:00,AAPL,235.76,235.8,235.67,235.7,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:39:00+00:00,AAPL,235.69,235.7,235.66,235.66,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:40:00+00:00,AAPL,235.62,235.62,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:45:00+00:00,AAPL,235.6,235.6,235.59,235.59,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:50:00+00:00,AAPL,235.66,235.66,235.66,235.66,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:51:00+00:00,AAPL,235.63,235.63,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:52:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:53:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:56:00+00:00,AAPL,235.58,235.58,235.58,235.58,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:57:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:58:00+00:00,AAPL,235.62,235.62,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 09:59:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:00:00+00:00,AAPL,235.6,235.6,235.58,235.58,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:01:00+00:00,AAPL,235.56,235.56,235.46,235.46,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:02:00+00:00,AAPL,235.45,235.49,235.45,235.45,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:03:00+00:00,AAPL,235.45,235.49,235.45,235.49,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:04:00+00:00,AAPL,235.48,235.48,235.48,235.48,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:07:00+00:00,AAPL,235.59,235.64,235.59,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:08:00+00:00,AAPL,235.56,235.56,235.54,235.54,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:10:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:11:00+00:00,AAPL,235.56,235.6,235.56,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:12:00+00:00,AAPL,235.61,235.61,235.51,235.51,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:13:00+00:00,AAPL,235.49,235.49,235.45,235.45,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:15:00+00:00,AAPL,235.45,235.45,235.33,235.37,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:16:00+00:00,AAPL,235.42,235.45,235.42,235.45,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:17:00+00:00,AAPL,235.44,235.44,235.44,235.44,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:21:00+00:00,AAPL,235.36,235.37,235.36,235.37,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:22:00+00:00,AAPL,235.4,235.4,235.4,235.4,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:23:00+00:00,AAPL,235.4,235.4,235.4,235.4,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:25:00+00:00,AAPL,235.38,235.38,235.38,235.38,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:27:00+00:00,AAPL,235.35,235.35,235.35,235.35,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:30:00+00:00,AAPL,235.44,235.44,235.42,235.44,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:38:00+00:00,AAPL,235.52,235.52,235.52,235.52,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:39:00+00:00,AAPL,235.52,235.52,235.52,235.52,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:40:00+00:00,AAPL,235.56,235.56,235.56,235.56,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:41:00+00:00,AAPL,235.53,235.53,235.53,235.53,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:44:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:45:00+00:00,AAPL,235.6,235.6,235.6,235.6,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:46:00+00:00,AAPL,235.61,235.61,235.61,235.61,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:47:00+00:00,AAPL,235.63,235.72,235.63,235.72,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:48:00+00:00,AAPL,235.72,235.78,235.72,235.77,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:50:00+00:00,AAPL,235.58,235.58,235.58,235.58,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:52:00+00:00,AAPL,235.68,235.68,235.68,235.68,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:55:00+00:00,AAPL,235.65,235.68,235.65,235.68,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:56:00+00:00,AAPL,235.69,235.69,235.69,235.69,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:57:00+00:00,AAPL,235.7,235.7,235.7,235.7,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 10:59:00+00:00,AAPL,235.65,235.65,235.65,235.65,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:00:00+00:00,AAPL,235.6,235.6,235.57,235.57,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:01:00+00:00,AAPL,235.59,235.59,235.59,235.59,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:02:00+00:00,AAPL,235.59,235.65,235.59,235.65,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:04:00+00:00,AAPL,235.61,235.64,235.59,235.59,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:05:00+00:00,AAPL,235.6,235.6,235.48,235.48,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:07:00+00:00,AAPL,235.54,235.54,235.54,235.54,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:08:00+00:00,AAPL,235.54,235.54,235.49,235.49,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:09:00+00:00,AAPL,235.54,235.54,235.54,235.54,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:10:00+00:00,AAPL,235.51,235.51,235.51,235.51,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:13:00+00:00,AAPL,235.51,235.51,235.51,235.51,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:15:00+00:00,AAPL,235.63,235.64,235.52,235.59,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:16:00+00:00,AAPL,235.48,235.63,235.48,235.63,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:17:00+00:00,AAPL,235.57,235.57,235.57,235.57,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:19:00+00:00,AAPL,235.5,235.5,235.42,235.42,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:20:00+00:00,AAPL,235.47,235.47,235.47,235.47,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:21:00+00:00,AAPL,235.4,235.4,235.4,235.4,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:22:00+00:00,AAPL,235.4,235.4,235.24,235.35,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:24:00+00:00,AAPL,235.26,235.26,235.26,235.26,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:26:00+00:00,AAPL,235.3,235.3,235.3,235.3,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:27:00+00:00,AAPL,235.3,235.3,235.3,235.3,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:28:00+00:00,AAPL,235.25,235.25,235.05,235.24,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:30:00+00:00,AAPL,235.3,235.31,235.22,235.29,0,2025-01-15 05:14:03.009777+00:00
2025-01-14 11:31:00+00:00,AAPL,235.14,235.15,235.14,235.15,0,2025-01-15 05:14:03.009777+00:00
