Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 09:00:00+00:00,GOOGL,191.0,192.6,191.0,192.6,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:01:00+00:00,GOOGL,192.5,192.67,192.41,192.52,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:02:00+00:00,GOOGL,192.5,192.62,192.49,192.49,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:03:00+00:00,GOOGL,192.54,192.64,192.54,192.64,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:04:00+00:00,GOOGL,192.64,192.64,192.51,192.51,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:05:00+00:00,GOOGL,192.5,192.5,192.48,192.48,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:06:00+00:00,GOOGL,192.43,192.43,192.41,192.41,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:07:00+00:00,GOOGL,192.45,192.49,192.45,192.48,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:08:00+00:00,GOOGL,192.42,192.48,192.42,192.48,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:09:00+00:00,GOOGL,192.48,192.49,192.45,192.45,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:10:00+00:00,GOOGL,192.49,192.49,192.49,192.49,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:11:00+00:00,GOOGL,192.5,192.51,192.5,192.5,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:12:00+00:00,GOOGL,192.43,192.43,192.36,192.37,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:13:00+00:00,GOOGL,192.4,192.45,192.4,192.45,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:14:00+00:00,GOOGL,192.5,192.5,192.39,192.39,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:15:00+00:00,GOOGL,192.46,192.47,192.46,192.47,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:18:00+00:00,GOOGL,192.46,192.46,192.39,192.4,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:19:00+00:00,GOOGL,192.42,192.42,192.42,192.42,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:20:00+00:00,GOOGL,192.42,192.46,192.42,192.44,0,2025-01-15 05:14:03.245259+00:00
2025-01-14 09:21:00+00:00,GOOGL,192.44,192.44,192.44,192.44,0,2025-01-15 05:14:03.245259+00:00
