Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAMI,"Acadian Asset Management Inc",39.3,-0.76,-1.90%,40.25,40.25,39.28,154795,2025-07-21
AAOI,"Applied Optoelect",28.23,-0.4,-1.40%,28.68,29.44,27.98,3086500,2025-07-21
AAP,"Advance Auto Parts Inc",62.8,1.67,+2.73%,61.88,63.62,60.5,2008970,"18:30 ET"
AARD,"Aardvark Therapeutics Inc",12,0.38,+3.27%,11.61,12.19,11.51,80700,2025-07-21
AAT,"American Assets Trust",20.08,-0.06,-0.30%,20.3,20.47,20.045,246565,"18:30 ET"
ABAT,"American Battery Technology Co.",2.56,0.16,+6.67%,2.69,3.3,2.5,17408500,2025-07-21
ABCB,"Ameris Bancorp",66.68,-0.66,-0.98%,67.45,67.85,66.62,251657,"18:30 ET"
ABEO,"Abeona Therapeutics",6.75,0.16,+2.43%,6.63,7.12,6.63,739200,2025-07-21
ABG,"Asbury Automotive Group Inc",231.77,1.81,+0.79%,230.78,234.03,230.69,143248,"18:30 ET"
ABM,"ABM Industries Inc",47.51,-0.21,-0.44%,47.74,48.32,47.43,363731,"18:30 ET"
ABOS,"Acumen Pharmaceuticals Inc",1.55,0.05,+3.33%,1.52,1.58,1.485,366000,2025-07-21
ABR,"Arbor Realty Trust",11.29,0.079999999999998,+0.71%,11.22,11.4,11.2,1991020,"18:30 ET"
ABSI,"Absci Corp",3.51,0.39,+12.50%,3.21,3.76,3.21,10826699,2025-07-21
ABUS,"Arbutus Biopharma Corp",3.14,0.01,+0.32%,3.13,3.18,3.11,485800,2025-07-21
ACA,"Arcosa Inc",88.48,-1.52,-1.69%,90.67,90.84,88.45,259042,"18:30 ET"
ACAD,"Acadia Pharmaceutica",22.28,-0.28,-1.24%,22.67,22.84,22.09,889600,2025-07-21
ACCO,"Acco Brands Corp",3.77,0.02,+0.53%,3.76,3.805,3.75,494166,"18:30 ET"
ACDC,"Profrac Holding Corp. Cl A",7.67,-0.26,-3.28%,8.03,8.13,7.58,259200,2025-07-21
ACEL,"Accel Entertainment Inc",12.64,0.45,+3.69%,12.24,12.9063,12.16,799690,"18:30 ET"
ACHR,"Archer Aviation Inc",11.85,-1.44,-10.84%,13.365,13.488,11.765,57635724,"18:30 ET"
ACIC,"American Coastal Insurance Corp",10.66,-0.14,-1.30%,10.8,10.82,10.65,93200,2025-07-21
ACIW,"Aci Worldwide Inc",45,-0.34,-0.75%,45.4,45.7,44.92,415400,2025-07-21
ACLS,"Axcelis Tech Inc",74.54,3.58,+5.05%,71.63,75.27,71.63,707900,2025-07-21
ACLX,"Arcellx Inc",69.39,1.81,+2.67%,68.07,69.75,67.3,331500,2025-07-21
ACMR,"Acm Research Inc",30.4,0.32,+1.06%,30.1,30.73,29.83,839800,2025-07-21
ACNB,"Acnb Corp",43.36,0.33,+0.77%,43.13,43.63,43.13,16300,2025-07-21
ACNT,"Ascent Industries Co.",12.88,0.03,+0.23%,12.92,12.98,12.85,58000,2025-07-21
ACR,"Acres Commercial Realty Corp",17.66,0.080000000000002,+0.46%,17.45,17.765,17.15,23388,"18:30 ET"
ACRE,"Ares Commercial Real Estate Cor",4.48,0.050000000000001,+1.13%,4.46,4.585,4.45,447214,"18:30 ET"
ACRS,"Aclaris Therapts",1.64,0.03,+1.86%,1.62,1.78,1.61,1208400,2025-07-21
ACRV,"Acrivon Therapeutics Inc",1.4,0.05,+3.70%,1.38,1.42,1.36,360000,2025-07-21
