Asset1,Asset2,Similarity
AAPL,ADBE,0.8747298065725929
AAPL,CTAS,0.855173616262375
AAPL,GOOG,0.8839878220028358
AAPL,GOOGL,0.8891465002640275
AAPL,MSFT,0.8534412836757129
AAPL,ODFL,0.9151921103049265
ABNB,BKNG,0.8750225617594961
ABNB,DASH,0.897419480483305
ABNB,MSTR,0.9668487494062258
ABNB,NFLX,0.9071320867560095
ABNB,PDD,0.9123148838925458
ABNB,PYPL,0.9453863862769607
ABNB,WBD,0.8567796382053143
ADBE,ANSS,0.9557814847265712
ADBE,CDNS,0.9850197785850905
ADBE,FTNT,0.9145938214197085
ADBE,GOOG,0.992869269155881
ADBE,GOOGL,0.9920982513260416
ADBE,INTU,0.8855952471538849
ADBE,MSFT,0.9796079211317211
ADBE,SNPS,0.9776994178794173
ADI,AMAT,0.9771289725856428
ADI,AMD,0.8662990837287756
ADI,ASML,0.9758176934576231
ADI,AVGO,0.9343755882256584
ADI,GFS,0.9607854313264935
ADI,INTC,0.951471476717436
ADI,KLAC,0.9640098118168801
ADI,LRCX,0.9674686763508157
ADI,MCHP,0.9941160856518619
ADI,MRVL,0.9096187526296304
ADI,MU,0.9221422545323684
ADI,NXPI,0.9893887044266413
ADI,ON,0.9687129478640086
ADI,QCOM,0.9848020391703649
ADI,TXN,0.9604121504145164
ADP,AEP,0.8991285154654174
ADP,CSX,0.8844219437856652
ADP,EXC,0.9240782553285743
ADP,FAST,0.8605316215068789
ADP,PAYX,0.987802272655275
ADP,XEL,0.9038197926193636
ADSK,AMZN,0.9719574442104035
ADSK,CSGP,0.8938366728953873
ADSK,FTNT,0.8928268007423127
ADSK,GOOG,0.8553217622410846
ADSK,GOOGL,0.8534918091595612
ADSK,IDXX,0.9085562810056551
ADSK,INTU,0.9671017634106543
ADSK,ISRG,0.8633756807455029
ADSK,PANW,0.8537315409747859
ADSK,WDAY,0.890289349874173
ADSK,ZS,0.8590028323925913
AEP,CSX,0.8548371589965533
AEP,EXC,0.9840728065997612
AEP,PAYX,0.8833298956998799
AEP,XEL,0.9922640738018454
AMAT,AMD,0.9334364757123551
AMAT,ASML,0.9798001387528483
AMAT,AVGO,0.9618559321645126
AMAT,GFS,0.9874161830808529
AMAT,INTC,0.9167529902233942
AMAT,KLAC,0.9961909615982155
AMAT,LRCX,0.9990055592325768
AMAT,MCHP,0.9794341422231102
AMAT,MRVL,0.9378707910921028
AMAT,MU,0.8937506163686296
AMAT,NVDA,0.8530771279826537
AMAT,NXPI,0.9736503921708675
AMAT,ON,0.965760288491378
AMAT,QCOM,0.9806231929435972
AMAT,TXN,0.9480588850942856
AMD,ASML,0.9465536149906159
AMD,AVGO,0.9257875886250753
AMD,GFS,0.9632003616844879
AMD,KLAC,0.9547596442837716
AMD,LRCX,0.9420913596775026
AMD,MCHP,0.8568970505492828
AMD,MRVL,0.9409598175344625
AMD,NVDA,0.9826438363777501
AMD,ON,0.8708318968740686
AMD,QCOM,0.8999516638766656
AMGN,AZN,0.9096938613223151
AMGN,BIIB,0.8510882391850455
AMGN,GILD,0.9689037183430876
AMGN,KHC,0.876286864356135
AMGN,REGN,0.8503087797980144
AMGN,TMUS,0.8515138339669611
AMGN,VRTX,0.8510524857869192
AMZN,CRWD,0.9246095904722517
AMZN,CSGP,0.8913407420064666
AMZN,DDOG,0.9317993933733367
AMZN,FTNT,0.9025299643337182
AMZN,IDXX,0.8696189423976037
AMZN,INTU,0.9648515048866868
AMZN,MDB,0.9203265803813903
AMZN,PANW,0.9228190983042293
AMZN,TEAM,0.9159137084930832
AMZN,WDAY,0.9494000256320813
AMZN,ZS,0.9503993930713618
ANSS,CDNS,0.9532286330330703
ANSS,GOOG,0.9301130725269112
ANSS,GOOGL,0.9261051306357754
ANSS,INTU,0.8697999747522449
ANSS,MSFT,0.9752093100529917
ANSS,SNPS,0.9496775727635524
APP,AXON,0.9781820921616933
APP,DASH,0.9350999957396817
APP,DDOG,0.8638431565490241
APP,LULU,0.8933658229122274
APP,MDB,0.9016957586448887
APP,MELI,0.9662376124118132
APP,MSTR,0.917134729380034
APP,NFLX,0.9564815649202233
APP,PLTR,0.8928567325355722
APP,PYPL,0.920048476278157
APP,TEAM,0.866544302184884
APP,TTD,0.9732612736438312
ARM,CHTR,0.9012461813585243
ARM,CMCSA,0.8793850400519473
ARM,MAR,0.8751237096745651
ARM,WBD,0.9527530069456414
ASML,AVGO,0.9578687989487489
ASML,GFS,0.9859071156567276
ASML,INTC,0.9143616612791281
ASML,KLAC,0.9832955929731806
ASML,LRCX,0.9760333843650455
ASML,MCHP,0.9598579773066722
ASML,MRVL,0.9428956679168448
ASML,MU,0.8848426965323961
ASML,NVDA,0.8843427662345438
ASML,NXPI,0.9533676270187018
ASML,ON,0.9447864426585394
ASML,QCOM,0.9742150745547005
ASML,TXN,0.9310948105232958
AVGO,CDW,0.8578200319453261
AVGO,GFS,0.9433493178862652
AVGO,INTC,0.9296133617821253
AVGO,KLAC,0.9611806424131707
AVGO,LRCX,0.9591025279448014
AVGO,MCHP,0.9243552623549686
AVGO,MRVL,0.91926311343849
AVGO,NVDA,0.85402709078037
AVGO,NXPI,0.8953563862166862
AVGO,ON,0.8949648308567854
AVGO,QCOM,0.9481089427768683
AVGO,TXN,0.9685401160419865
AXON,DASH,0.9540817235165846
AXON,LULU,0.9513859618588295
AXON,MELI,0.9894387137221156
AXON,MSTR,0.9500157252085836
AXON,NFLX,0.9502956883604434
AXON,PYPL,0.9516960440400021
AXON,TTD,0.9346502856309394
AZN,BIIB,0.9062113000658517
AZN,GILD,0.9055968701373097
AZN,REGN,0.9776682039041019
AZN,TMUS,0.9569593228573374
AZN,VRTX,0.9907753094651631
BIIB,CMCSA,0.9244709189220206
BIIB,GILD,0.9233812290929122
BIIB,REGN,0.938212521521052
BIIB,ROST,0.9153069430539377
BIIB,SBUX,0.86569108634871
BIIB,VRTX,0.8786258568557846
BKNG,MAR,0.9568605805472226
BKNG,PDD,0.904306913659132
BKNG,ROST,0.8859951627953505
BKNG,SBUX,0.8561976844457052
