,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,APP,ARM,ASML,AVGO,AXON,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DXCM,EA,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRVL,MSFT,MSTR,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,ROP,ROST,SBUX,SNPS,TEAM,TMUS,TSLA,TTD,TTWO,TXN,VRSK,VRTX,WBD,WDAY,XEL,ZS
AAPL,0.0,0.48483069243799015,0.3379681585564603,0.2844487760081819,0.263761880064797,0.34294183512737003,0.27275452896481545,0.3641153086450573,0.49760501874150737,0.2825263783621436,0.3569823382904426,0.32498142964096166,0.824489242585365,0.3596005825516617,0.34737327291024733,0.2965759553228376,0.42599310820955594,0.2790315602118455,0.4222823610520701,0.32066570154001994,0.3423979395426046,0.2769800631690402,0.2923718613397368,0.2743791240305139,0.36485508961643254,0.3519799975013616,0.2753524887170338,0.27480006053810374,0.25452371474860624,0.5238699197336227,0.27629004680951685,0.3527996749101067,0.25968243863435153,0.24806566313122094,0.2909329305174958,0.6840387545270551,0.6808113053609036,0.4440221517088125,0.2726763947151644,0.2814449430876982,0.36864219777673723,0.2595604737441589,0.4725535400251633,0.30273003876904125,0.48999865016207944,0.2711349170482626,0.2969014912570952,0.2915808928755598,0.26919261256905097,0.3111029722094804,0.3417622519214082,0.32866965080336674,0.3248158467486432,0.2788076950025674,0.2835812921801345,0.36877839620053393,0.2764447504643169,0.4028509959284844,0.379238112694787,0.2970640047343797,0.34129630088641283,0.7822374236521553,0.2736104862537223,0.6001130688613152,0.5479968935479819,0.2799640055007067,0.5662944770168175,0.24170048274702907,0.9749488623961273,0.3837056865795453,0.5633572937319619,0.519892445637195,0.33513323514890425,0.34254172442778774,0.5098785525687397,0.284951175284034,0.41884289456275625,0.25982274273352246,0.273074098501685,0.9645313371269733,0.27169189570974217,0.7219893216845863,0.4699471520145488,0.3314794043262653,0.3081935461591545,0.24878589738631543,0.35716316858516156,0.2949065031942866,0.30521607198433537,0.6789451222598428,0.27451433247331525,0.5719003857967199,0.7725446799599062,0.36240373234862777,0.25856666771141534,0.25724033561097415,0.29443410546953575,0.5741915035809404,0.3722905966741602,0.26598282450277805,0.6351911331495461
ABNB,0.48483069243799015,0.0,0.4787848928593091,0.46099021709559374,0.5134436027290388,0.4683169926808537,0.5235145811792045,0.4721370235518249,0.4941151386737716,0.5435711382076112,0.4702239374802167,0.4701311501818614,0.7418281611080784,0.608053952446129,0.46511306983188405,0.47685970912371917,0.48352515857678463,0.5101288047525705,0.5783790670407946,0.43500297719339803,0.4788508518753244,0.49492166018457295,0.45786745989545624,0.4888149792825884,0.49537777835940894,0.48871903637183367,0.5126170943367061,0.5118484703814041,0.4741475158165083,0.506651383892842,0.5143276050228437,0.48674236070546456,0.5150003369814293,0.5095232685911236,0.4854967784128409,0.5679862628423845,0.60766126028532,0.493493918328355,0.5268719642041692,0.529397417228469,0.4735188647508049,0.49927117933086657,0.4946065107150913,0.5447209637883906,0.5047312368859519,0.5353440971193997,0.47015427792035464,0.4694851535188777,0.523547205605297,0.46939632109419005,0.4907869219596183,0.4354137227982039,0.48238438500530395,0.5413279866386775,0.5385191220047684,0.4716439831292909,0.5020057964579212,0.47768544780336314,0.4785733160470942,0.4461882986111804,0.4500254713686218,0.686814596370393,0.546004789178377,0.5348083322520344,0.5393419654856735,0.5069944647578495,0.5570756786724599,0.4746336719983143,0.8126123640984704,0.47033232931120394,0.5750072576456445,0.5313455730849386,0.4484595431800761,0.4729847458763189,0.5224884941945478,0.5096296899484404,0.49895086201505445,0.49088225031790117,0.501258362883948,0.8675295988767339,0.5555477748917446,0.6136459306669578,0.49668026500794765,0.4642480954392317,0.5254843987667058,0.5218441216790775,0.4994162238834393,0.48028254843044765,0.4732788952733996,0.572230976054008,0.5197387666223167,0.5441973798160007,0.6841758443163974,0.4913087784213404,0.4941479362195701,0.5034821402734266,0.5132389772987014,0.571037514957612,0.4733844375596956,0.5310227113696809,0.588474266785209
ADBE,0.3379681585564603,0.4787848928593091,0.0,0.33858823486547796,0.36672843669292016,0.3459149666808269,0.3779416566074948,0.38055580363783154,0.46955447945398754,0.38157873437298845,0.3971211251751216,0.3566530606908034,0.7917651706852666,0.46295219272593835,0.3745888672264337,0.35016779529986913,0.43377071011425067,0.3634122999143366,0.46856020354489386,0.37776855537582865,0.3907679419087571,0.37317045027814505,0.33354029692747295,0.35702083185557343,0.406062570759687,0.3725707724582608,0.36413841092941496,0.36952016098191726,0.33314848610411724,0.5064617508635731,0.36864128759639214,0.39752265592603936,0.356934649441316,0.3462595795974917,0.3555837188644832,0.6422227822201646,0.6503089578472808,0.44655773756397277,0.3768605887298579,0.37671510481067083,0.406212702709167,0.359511468524341,0.45116261760826687,0.38526445523586605,0.4861151509143535,0.3773946840913632,0.3641562630729114,0.3629907463346136,0.36883480961420306,0.35469586570018197,0.3806922709581826,0.3510736195472863,0.3754543766755973,0.38248920605741726,0.37909401063082887,0.38061224326040394,0.35957355407639197,0.4065581987801169,0.4130739505217646,0.3554489109659827,0.36697848629817953,0.7100898180600748,0.3807082289614634,0.5765159955592354,0.5213281614374562,0.35381942635964486,0.5464033175091801,0.3188301752313408,0.9311201641713582,0.39832100741814325,0.5516503665981555,0.5025723354163644,0.3640591386373487,0.38490985526442945,0.4988671254433813,0.3720976082921361,0.4377573777874972,0.3463522997052774,0.3763319414133861,0.9147122499635543,0.3886521252557104,0.6808622851790603,0.48267928237900487,0.36531010338706016,0.3723314735314698,0.35642765614174143,0.39277875005029256,0.3629579255230226,0.3264251036308468,0.6151973901840806,0.3710399699039009,0.5691923402220088,0.7494717434659407,0.39055064555657454,0.34440444289552785,0.35708662567408384,0.3812768151782508,0.5631211435511557,0.39356391396232326,0.37578876849449155,0.610384176426426
ADI,0.2844487760081819,0.46099021709559374,0.33858823486547796,0.0,0.2933234995459294,0.3318018323123738,0.3027606626258006,0.3181462993367541,0.4606767503703182,0.30871445518387136,0.3748726047083939,0.30900993294724927,0.8059361888289863,0.39543403478689426,0.31647385390294513,0.2817189326168947,0.41101481713667115,0.29507849798837604,0.43593259566875203,0.31327632676139194,0.34525174008765386,0.3009172863957886,0.2917291802442567,0.26646171738603863,0.36132307949978126,0.3650604206715755,0.3064754453905794,0.3054892039972717,0.2618469352558052,0.5105720123802117,0.29902122351737165,0.3580781505803046,0.2806061969498789,0.28371920256597394,0.31785109613857637,0.6452001394348292,0.6585467104355284,0.4155044637115871,0.30281965636995106,0.30202813931560746,0.365521289825165,0.28136203083204064,0.43962913149563515,0.32201535295707323,0.44668982825872866,0.29994846933440894,0.30262713525216617,0.30143656081011205,0.2921338429730999,0.33188116839974624,0.33465653395217326,0.31417532568942325,0.32088991428575536,0.30504808864866845,0.3066452174515286,0.3169527687601801,0.27614588213987823,0.35891670194673037,0.38856030680646386,0.2926167274223417,0.2503885873802089,0.7590114260436917,0.2943667539353481,0.5825384757294985,0.5262900299571956,0.2912810451922224,0.5354178645936342,0.27528546307215157,0.9697807641592551,0.345325448679991,0.5582676060252464,0.4811718651112827,0.26579992728456686,0.32951949265636643,0.44922274842210624,0.31120974124687223,0.41017013011108605,0.27744494152890237,0.2891809742390378,0.9385301281274804,0.3048196432223741,0.6884898500722892,0.4384601874073315,0.3041958441267833,0.3132771682145661,0.2798034969304517,0.36937451457030235,0.2944685861850585,0.2993025285077097,0.660398393289171,0.30350564953439035,0.5606132293120756,0.751261362940728,0.36896023470573486,0.21671299980310943,0.298434034951768,0.3207956876595531,0.5617932273553478,0.3663561345662828,0.30030755286916255,0.6246965167583701
ADP,0.263761880064797,0.5134436027290388,0.36672843669292016,0.2933234995459294,0.0,0.3637504870967084,0.24697850672327656,0.3883479473234081,0.5344936480467551,0.2513736223329702,0.38146511824515933,0.3459984772991827,0.863848882590899,0.3315031935409267,0.3822094725637974,0.32218915541436083,0.4259205305855748,0.2480053864140068,0.42587699148961494,0.3216238549550663,0.35704748125892644,0.25640545306919627,0.3050521026020202,0.2602742787060228,0.34913478974644124,0.3383742952303436,0.25744052812457097,0.2669603091728872,0.268196517727319,0.556548310826933,0.2520004172496572,0.34417691213918894,0.23931157441874265,0.22024823125433482,0.28120646994076226,0.7176672219536328,0.70864607169854,0.46027870291151357,0.2483541153822554,0.24407785868911921,0.38191950336926844,0.24445221629228447,0.47640560685279554,0.27197721303886796,0.5072462044486146,0.24498828628268465,0.30518767469339986,0.3022647712358367,0.20777814005857081,0.32604999686503466,0.3461492217281381,0.35262213639264123,0.32873001786336914,0.23230515981646563,0.24700496801948593,0.38703640890531626,0.25824296344086317,0.4309534330401347,0.4043415588604912,0.2977082949877775,0.3673568256119023,0.8282913174078222,0.2340587958199968,0.6357566066416743,0.5582629698333024,0.26314195120521444,0.6081431281997497,0.26755196460550335,1.0232441615513597,0.4076956667872948,0.5713444767069288,0.5655915437330756,0.3660127198913077,0.35032301059949267,0.5258228440953379,0.2604505656888929,0.4223258413519839,0.18929133573323248,0.2573374436047398,0.9900517543058618,0.22689199360735132,0.7458531369449372,0.456007607297662,0.36789561226385264,0.28962870538201957,0.2248883299627594,0.3515453648449799,0.2901818325179862,0.3213360492621122,0.7144110107466412,0.24914097160040682,0.5942030960530779,0.7931848460937572,0.344924437589379,0.25438914402288,0.23178679912280056,0.2741159926921323,0.5925057840009509,0.39103438036548044,0.23679753852006283,0.6698113988435126
ADSK,0.34294183512737003,0.4683169926808537,0.3459149666808269,0.3318018323123738,0.3637504870967084,0.0,0.39723392092245635,0.3734376939707208,0.4679174760487041,0.40792354565738775,0.3845019765049568,0.33761197225678413,0.7685652079306559,0.4738635175327958,0.3403332667656978,0.3609355952739995,0.39280221834854834,0.36898742973120224,0.4454400205535483,0.3710033840442341,0.3877754852865736,0.3845059439418012,0.32739900031214086,0.3406653470376659,0.3895886703601985,0.3934763560878099,0.38989592335391104,0.38494041107469307,0.3403999084865029,0.47434954375852645,0.38567416693436557,0.3950217903230438,0.37229793218195745,0.36786813108217403,0.3804590497200464,0.6246225902780733,0.6164494341187446,0.42493364821793816,0.3797123557037642,0.3945569730015779,0.39596732859855027,0.37244628609881025,0.4511340482338053,0.40571560060622386,0.4723025741794132,0.3771995836430965,0.3514690252777726,0.34994603584641415,0.3853514750310143,0.3714875926983304,0.398458040762884,0.32395902639319196,0.3719050708542476,0.4001043415853776,0.39333038574457735,0.3732671249409397,0.36741783002035716,0.4045849206539921,0.3960004940958676,0.357877827850504,0.3585541215773925,0.7240943311644158,0.40422229562345163,0.5567972587854805,0.5265259469011074,0.3736140996200229,0.5355450286963758,0.3435313395451936,0.9153993975127819,0.3968680279560164,0.5629335390183056,0.4966763140434331,0.3715530068060482,0.3654729438279762,0.46933987168614794,0.38367953534825805,0.4319165155578771,0.35750101791996464,0.38146799590134944,0.9041796055197903,0.4084250741011522,0.6744036976575122,0.43649082315994736,0.3655209666414518,0.37404763266967855,0.3689927938251635,0.4109355193196224,0.351350891276118,0.3305453947117722,0.6133678792875582,0.38550349883180773,0.5665948341062074,0.7118170024344371,0.39834520327947326,0.34872776551310014,0.36712465364817476,0.382078015661112,0.5592335013025015,0.3856281233544832,0.3937081087413045,0.5703698914243737
AEP,0.27275452896481545,0.5235145811792045,0.3779416566074948,0.3027606626258006,0.24697850672327656,0.39723392092245635,0.0,0.4183372856102537,0.5567762547281357,0.22054425266240127,0.4185072871933935,0.35254821439851475,0.8855108809615333,0.30734889511660735,0.411255249595712,0.3282276821988151,0.44961023186398436,0.24914045394581175,0.4404360869022089,0.328973280038785,0.3495932794016998,0.2562154965809448,0.3317406380753757,0.2676630270745439,0.37196975237105667,0.3402070832509053,0.24848195587047303,0.25277750146994626,0.2692039453791839,0.5621714705340681,0.24747550152735123,0.36631377575201785,0.22349113307046783,0.22337886706058632,0.2966397474475196,0.7406784359385324,0.7325099261157503,0.48317133048030314,0.23874454956203922,0.18413042008769676,0.3693260342552989,0.23870823953319378,0.4942562593254699,0.24929476539791998,0.5167322730770009,0.22871117160099133,0.33092621265827904,0.32959642637706127,0.21544127528690743,0.34689649362952585,0.3593129658574343,0.38245598069329445,0.352498226297743,0.2088266245763963,0.2200333864579442,0.4142369479381387,0.24544283190354207,0.4608454625159782,0.41599628304908526,0.2908845153726229,0.3888179476728383,0.8536244748061818,0.20227206815547882,0.6540866769956821,0.5866936012257111,0.25348552190992973,0.6345381490528279,0.28893878796710937,1.047897484746699,0.4137650759683798,0.6032963734460898,0.5942984701680908,0.38507220156951666,0.35960260312789705,0.5571541858590714,0.24768903222950484,0.4397251084921617,0.24158530126450564,0.24351178331630935,1.0124297788162986,0.19019574248550752,0.7680582371669656,0.4973419375371645,0.3839101328994537,0.29749740541108965,0.2200933294707941,0.3477017672472431,0.2915788549779427,0.3483634676400663,0.7389393485049864,0.24802049917606583,0.6304660071521689,0.8183183750848189,0.3634788919560314,0.25639867930701926,0.2300987947977579,0.267400233218975,0.6050683417504577,0.4143665883038952,0.13160278784122287,0.6975045710496378
AMAT,0.3641153086450573,0.4721370235518249,0.38055580363783154,0.3181462993367541,0.3883479473234081,0.3734376939707208,0.4183372856102537,0.0,0.41385706430241237,0.4295217796303795,0.40599371670497075,0.3729212646866954,0.7667009577575639,0.5139755787784623,0.287810202072794,0.33129489434201376,0.44067288901130075,0.4034936534378743,0.4869832388603716,0.3774157353083816,0.39595467955504804,0.4093233109521817,0.34831378356412146,0.37961025698376255,0.40493275415603425,0.4061458897776893,0.40014075542301236,0.40377962169579446,0.36576373637409426,0.4886608844998154,0.4057737123987603,0.4271104175045427,0.3890029472870512,0.3959059429457367,0.4038922751818973,0.611045759411141,0.6158221118242355,0.4291455752365834,0.41473631166201963,0.42002240266106006,0.41369925365674604,0.3876448098620306,0.47251132697806725,0.44764991625485623,0.4593351365171316,0.4110801153473633,0.3710374119044157,0.36905215547111203,0.4055666034765094,0.3752659494340799,0.36856489236470225,0.3639894952910239,0.3840592685855001,0.42533151378970385,0.428589886368795,0.23481873089694008,0.3895776654925783,0.22626889631284744,0.40835106281433786,0.3808961879849292,0.2955061368734198,0.718644799474766,0.4275667642990626,0.5572795615992695,0.5370885645769924,0.39717346136073106,0.46292928478752005,0.3550719131517714,0.8947178723742057,0.34504691925100844,0.5531775097391556,0.4418268443364495,0.3048631825310041,0.3863061169734296,0.4060939464295828,0.41345755184287464,0.42698178398714653,0.3891068385502122,0.4072072448461906,0.9136874808158346,0.4413951811037193,0.6395367163220286,0.45334224287477426,0.3254300466018983,0.4185763528641269,0.3984402263519937,0.42406134464823164,0.3975107083001052,0.3490458900538702,0.6287983572453485,0.407619537582522,0.5259481057038669,0.7197823171037709,0.4261529196909455,0.3321809978850617,0.4030115966022666,0.39689156705096734,0.5234522722819175,0.39034871949095756,0.4233219185670972,0.5945401992535787
AMD,0.49760501874150737,0.4941151386737716,0.46955447945398754,0.4606767503703182,0.5344936480467551,0.4679174760487041,0.5567762547281357,0.41385706430241237,0.0,0.5741021850630408,0.4862146563601859,0.465085532378914,0.7375549513991715,0.6348195987975561,0.4256263665074244,0.4553800037184714,0.49622908326881165,0.5303139479592608,0.5878394294889133,0.49862164140246223,0.5085656626226468,0.540516163982447,0.46800813594052376,0.51405376287569,0.5122593521308779,0.534276889025532,0.5455330236777728,0.5397842405153983,0.4853644251714818,0.5112131076500788,0.547115938028985,0.5212858440910598,0.5372399841593476,0.5351590416582712,0.5089967272665286,0.6071825716591199,0.5936181826271715,0.5029361873471276,0.5639565546464166,0.5638234397266876,0.504973060996118,0.5261397917781772,0.5429784087761349,0.5727253587396918,0.47479713098078286,0.5570221713731281,0.4835894705238976,0.48311140012746234,0.5542257314923419,0.49035099144306754,0.46483591098571614,0.4646562601331603,0.4970770099916989,0.5798827124627085,0.5758531405421562,0.42318797491072163,0.5325112668365614,0.4274560503390151,0.49841284190408724,0.5075003869083757,0.4325396392749664,0.6766567790460681,0.5770135586602934,0.5541917988791097,0.5527531947207399,0.5296469329306618,0.4607202089984086,0.4783512305128463,0.8301300755715726,0.4638604656088736,0.5950571507540551,0.4374470305869568,0.4312638648443986,0.4798507146856295,0.46899688442510673,0.5461224194615807,0.5119724570295144,0.5265803799330254,0.543118217373336,0.8663056838899751,0.5858947966560382,0.6143591538834926,0.5096641630638011,0.4369936175244346,0.54343236572161,0.549254286625725,0.5327430675872947,0.5108613072085791,0.4726602772612208,0.6076768544618815,0.5492123643616325,0.5491158802700287,0.6935124838337625,0.5131723898844323,0.488364376983033,0.54340004987839,0.5278591696702412,0.5797012796262351,0.47671108536445567,0.5634753292586209,0.5860061489450651
AMGN,0.2825263783621436,0.5435711382076112,0.38157873437298845,0.30871445518387136,0.2513736223329702,0.40792354565738775,0.22054425266240127,0.4295217796303795,0.5741021850630408,0.0,0.4219979925665627,0.3767565805214496,0.8955560301830419,0.2942766108362624,0.42341607325782854,0.34128318139778474,0.46433538382351125,0.24671807162398954,0.4342331254705936,0.33446728637372064,0.3581196695517314,0.25962689158527225,0.3314849012979275,0.27825740203716737,0.3679353156316113,0.35774187621856196,0.2529982195919845,0.2652973704801607,0.2767758661688918,0.5850390680091094,0.2565866360721462,0.36734683647984767,0.2326519984885777,0.2358187372446441,0.2983878588319624,0.7581193029192301,0.7478423434405792,0.4936364871069442,0.23583874736720614,0.2372131686091424,0.3943832908470805,0.2552334099193286,0.5122380481508055,0.23141115667645482,0.524200801935804,0.2117982871348356,0.34215087045474046,0.338986657247006,0.22718256902468573,0.3566408299532179,0.3695590611363563,0.3945542877777433,0.36910503880263335,0.21232669432690413,0.22824736775247229,0.422458716092838,0.24119183986536794,0.46924498506005763,0.4312769763959866,0.30334065211095157,0.4027313897029307,0.866490177895765,0.20225516753347483,0.6569036610881847,0.5950626491615414,0.2570921766142746,0.6419344468232026,0.298982464801805,1.068341895460578,0.4184200529929271,0.611339135971257,0.5951880445207652,0.39212700919722165,0.37184826249607217,0.5696954004441938,0.25264918685513943,0.44239294191770706,0.2486987430181561,0.24264056711307774,1.0129204098283962,0.19374085419228648,0.7825448261190359,0.5171066045472529,0.39773785485627483,0.28763063328539057,0.22053812923057659,0.36052276828612684,0.2984622216296514,0.3493570040146512,0.7491845196675785,0.2440998639194135,0.6422942245542946,0.8333893288148931,0.36903655857404544,0.2730925858832739,0.2394001473504601,0.28363788878787094,0.6241612017491261,0.43079242331890505,0.2128434178849582,0.7000661789326744
