,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AAPL|||ABNB,AAPL,ABNB,0.48934643083844553,0.15756020172712912,0.20053949005233465,0.7070347515189245,0.0,5.800000000000001
AAPL|||ADBE,AAPL,ADBE,0.6441977462916366,0.11477601272747057,0.378097649549776,0.8268360983839377,0.0,5.800000000000001
AAPL|||ADI,AAPL,ADI,0.6228969049893737,0.16938031720016208,0.27026440152605097,0.8207613413973475,0.0,5.800000000000001
AAPL|||ADP,AAPL,ADP,0.5424800002601857,0.21115402118464416,0.15882143712998853,0.8360206361937508,0.0,5.800000000000001
AAPL|||ADSK,AAPL,ADSK,0.6024485921219608,0.16938329276974703,0.2526988461344961,0.8386786270160956,0.0,5.800000000000001
AAPL|||AEP,AAPL,AEP,0.29048527471343344,0.2038118915440266,-0.048321239668391996,0.655640749988072,7.000000000000001,5.800000000000001
AAPL|||AMAT,AAPL,AMAT,0.6061041654195377,0.15697965098188968,0.3250273628658935,0.8286774376403382,0.0,5.800000000000001
AAPL|||AMD,AAPL,AMD,0.5786123069442608,0.17512685668508302,0.2507647752805199,0.8049064507215803,0.0,5.800000000000001
AAPL|||AMGN,AAPL,AMGN,0.2214829416540885,0.22326483888523918,-0.43185270416549176,0.6224258458391848,12.6,5.800000000000001
AAPL|||AMZN,AAPL,AMZN,0.5646873064533692,0.2029933826931715,0.05387635596021219,0.8476224282536897,0.0,5.800000000000001
AAPL|||ANSS,AAPL,ANSS,0.6111859499030573,0.1790720660269651,0.05039829977783283,0.8446413708752366,0.0,5.800000000000001
AAPL|||APP,AAPL,APP,0.4148959717009849,0.16970664342800423,0.07251648802222377,0.7390536395315401,0.0,5.800000000000001
AAPL|||ASML,AAPL,ASML,0.6254432195476516,0.1632483141905725,0.2748083034366661,0.8609530380301431,0.0,5.800000000000001
AAPL|||AVGO,AAPL,AVGO,0.6378678660530627,0.16746495886583615,0.29525457718934295,0.8288312051587565,0.0,5.800000000000001
AAPL|||AXON,AAPL,AXON,0.3475159208698782,0.2444995129590083,-0.08100597438183822,0.753512289265032,4.6,5.800000000000001
AAPL|||AZN,AAPL,AZN,0.26632542558700495,0.18784397492240676,-0.11272362042856704,0.6286408861636845,7.6,5.800000000000001
AAPL|||BIIB,AAPL,BIIB,0.36353287805693985,0.19206507033664647,0.023342440932298012,0.6739371204883556,0.0,5.800000000000001
AAPL|||BKNG,AAPL,BKNG,0.43919988186788195,0.2065943561737867,-0.16066910778702684,0.6875487393766628,6.800000000000001,5.800000000000001
AAPL|||BKR,AAPL,BKR,0.2214161195349542,0.17550591850301625,-0.20697823818076821,0.48466609231103874,11.600000000000001,5.800000000000001
AAPL|||CCEP,AAPL,CCEP,0.3921386848505677,0.18920336388369913,0.03849298627174041,0.6909535778019054,0.0,5.800000000000001
AAPL|||CDNS,AAPL,CDNS,0.598200026831393,0.14350368752283132,0.30591990489699356,0.8127778297745285,0.0,5.800000000000001
AAPL|||CDW,AAPL,CDW,0.5471739101942008,0.22790198609825388,0.09111629640083985,0.8289083004309034,0.0,5.800000000000001
AAPL|||CEG,AAPL,CEG,0.30787342134453144,0.17721573631527024,-0.08660437820548182,0.5952094056484656,5.4,5.800000000000001
AAPL|||CHTR,AAPL,CHTR,0.37952934240099906,0.162050500508391,0.03344770648947338,0.6630592641063272,0.0,5.800000000000001
AAPL|||CMCSA,AAPL,CMCSA,0.4460291097935705,0.1739907942953466,-0.0320677295764164,0.7095632809572869,0.4,5.800000000000001
AAPL|||COST,AAPL,COST,0.5323544415705663,0.1408541920635591,0.15925777379923894,0.729313595085402,0.0,5.800000000000001
AAPL|||CPRT,AAPL,CPRT,0.6064948454673265,0.1677474871592843,0.25928001009686547,0.8441036640271519,0.0,5.800000000000001
AAPL|||CRWD,AAPL,CRWD,0.4982400048265515,0.11949460389614504,0.275796430301308,0.739273471509653,0.0,5.800000000000001
AAPL|||CSCO,AAPL,CSCO,0.5142877641211694,0.17395403147085955,0.14277188475354446,0.8011534905744654,0.0,5.800000000000001
AAPL|||CSGP,AAPL,CSGP,0.4671290840318017,0.15125800931952368,0.15994970650212656,0.701901739296028,0.0,5.800000000000001
AAPL|||CSX,AAPL,CSX,0.4752960857442174,0.15848424943997416,0.13302790072207524,0.7371552757006268,0.0,5.800000000000001
AAPL|||CTAS,AAPL,CTAS,0.6408542359115991,0.13965279587303733,0.31232802330851656,0.8527414700668058,0.0,5.800000000000001
AAPL|||CTSH,AAPL,CTSH,0.4752135791399587,0.24240954958988403,0.030770355690481276,0.7810932591691111,0.0,5.800000000000001
AAPL|||DASH,AAPL,DASH,0.48727650509690906,0.14997845941276347,0.1095409764918098,0.7264114594742928,0.0,5.800000000000001
AAPL|||DDOG,AAPL,DDOG,0.4687604954344713,0.1777708951719089,0.14177389477304597,0.7671009009429927,0.0,5.800000000000001
AAPL|||DXCM,AAPL,DXCM,0.3967498247693041,0.2468209672381705,-0.09659048514741479,0.7727694915545874,10.6,5.800000000000001
AAPL|||EA,AAPL,EA,0.4051174823668978,0.11558197568710209,0.18999353094047233,0.6622565193206789,0.0,5.800000000000001
AAPL|||EXC,AAPL,EXC,0.2938013529261827,0.1929349531354545,-0.05900997597025831,0.6972187453056253,6.0,5.800000000000001
