,asset1,asset2,correlation
86,GOOG,GOOGL,0.9976984608252906
29,AMAT,LRCX,0.9283716894116611
28,AMAT,KLAC,0.9170620339329182
92,KLAC,LRCX,0.9167453531626926
74,CDNS,SNPS,0.9105215036724376
112,MCHP,NXPI,0.8983082305637163
14,ADI,MCHP,0.8955584952458454
24,AEP,XEL,0.8871886508680932
115,MCHP,TXN,0.8616775450458859
16,ADI,NXPI,0.8599624249673969
26,AMAT,ASML,0.8554848024465954
53,ASML,KLAC,0.8537072462616458
19,ADI,TXN,0.8527565865432227
54,ASML,LRCX,0.8488268797770491
113,MCHP,ON,0.8465768372237775
127,NXPI,ON,0.8414250299124991
20,ADP,PAYX,0.8406664626792179
30,AMAT,MCHP,0.8383513769324845
93,KLAC,MCHP,0.8281027157526631
129,NXPI,TXN,0.8244079746904487
34,AMAT,NXPI,0.8182558813609949
44,AMD,NVDA,0.8084687506199668
102,LRCX,MCHP,0.8083770353548259
80,DDOG,MDB,0.8067674007317414
55,ASML,MCHP,0.8033058894395827
8,ADI,AMAT,0.8020194323397024
17,ADI,ON,0.8005885381762247
78,CRWD,ZS,0.7990303327909724
97,KLAC,NXPI,0.7951942926097945
12,ADI,KLAC,0.7936940052822509
101,KLAC,TXN,0.7923583194627544
38,AMAT,TXN,0.7905054898214252
13,ADI,LRCX,0.7887947454558095
106,LRCX,NXPI,0.788625749232262
120,MRVL,NXPI,0.7876504428837707
110,MCHP,MRVL,0.7833324520727057
109,LRCX,TXN,0.7831306970616191
10,ADI,ASML,0.7815486803608059
58,ASML,NXPI,0.7812201472489877
94,KLAC,MRVL,0.7777645738878277
35,AMAT,ON,0.777069639220543
128,NXPI,QCOM,0.7763941372600823
23,AEP,EXC,0.7740114545160901
25,AMAT,AMD,0.7733607533148554
114,MCHP,QCOM,0.7731734632547164
62,ASML,TXN,0.7724065813578357
33,AMAT,NVDA,0.7699525249367226
18,ADI,QCOM,0.7689195357517603
65,AVGO,MCHP,0.7662914817670049
31,AMAT,MRVL,0.7654178012861808
36,AMAT,QCOM,0.7653885334364879
118,MDLZ,PEP,0.7644334723033444
119,MRVL,NVDA,0.7637492699540057
41,AMD,LRCX,0.7618753758387495
43,AMD,MRVL,0.7610435189440623
57,ASML,NVDA,0.7609356883963316
40,AMD,KLAC,0.7606937718058452
98,KLAC,ON,0.7600315903587614
83,EXC,XEL,0.7583467231167967
96,KLAC,NVDA,0.7577812251473358
107,LRCX,ON,0.7570287701765758
63,AVGO,KLAC,0.7564771210557865
131,QCOM,TXN,0.7563657976005999
39,AMD,ASML,0.7552853302638278
27,AMAT,AVGO,0.7550028926177021
126,NVDA,SNPS,0.7544046694910114
108,LRCX,QCOM,0.7543705825105389
66,AVGO,MRVL,0.7540848934913945
130,ON,TXN,0.7533409102939858
103,LRCX,MRVL,0.752942453493736
105,LRCX,NVDA,0.7494964497591857
56,ASML,MRVL,0.7484921470000184
22,ADSK,INTU,0.7463141502940361
48,ANSS,CDNS,0.7451034472797694
121,MRVL,ON,0.7446566619867822
60,ASML,QCOM,0.7435527278313825
104,LRCX,MU,0.7430461957692132
59,ASML,ON,0.7423956452174116
99,KLAC,QCOM,0.7413658450848041
77,CPRT,SNPS,0.7413642675531659
2,AAPL,MSFT,0.7408609443214342
73,CDNS,NVDA,0.7381094945609229
32,AMAT,MU,0.7370138743374314
15,ADI,MRVL,0.7354248089192235
69,AVGO,TXN,0.7351991993593455
21,ADSK,ANSS,0.7338156983262617
64,AVGO,LRCX,0.7335781401055862
123,MRVL,TXN,0.7322817796050741
68,AVGO,NXPI,0.7320118769179358
88,GOOGL,MSFT,0.7295209969566293
90,INTU,SNPS,0.7293924336652561
75,CHTR,CMCSA,0.7292633713886731
87,GOOG,MSFT,0.7288810832814644
11,ADI,AVGO,0.7271434040254141
72,CDNS,INTU,0.7245089128430918
122,MRVL,QCOM,0.7240723879352492
49,ANSS,INTU,0.7231113823642104
100,KLAC,SNPS,0.7228090532572141
125,NVDA,NXPI,0.7215114403707591
45,AMD,NXPI,0.7206793906962475
5,ADBE,INTU,0.719433532499817
111,MCHP,NVDA,0.7190182577527554
71,CDNS,CPRT,0.718197070151644
81,DDOG,TEAM,0.7168231953459041
70,BKNG,MAR,0.7163359150362285
91,INTU,WDAY,0.7161011889069195
61,ASML,SNPS,0.7149902046094402
46,AMD,ON,0.7144419572607502
76,CPRT,INTU,0.713949276291066
51,ASML,AVGO,0.7133809747546273
82,DDOG,ZS,0.7132804706166033
89,INTU,MSFT,0.7121255303324954
42,AMD,MCHP,0.7120162005950271
117,MDB,ZS,0.7119121339009592
67,AVGO,NVDA,0.7118179531526083
6,ADBE,MSFT,0.7110650787693242
52,ASML,CDNS,0.7088901091287297
85,GFS,NXPI,0.7085423359275679
95,KLAC,MU,0.7061670235885963
4,ADBE,CDNS,0.705834934143493
1,AAPL,GOOGL,0.7044073310524818
116,MDB,TEAM,0.7041199125748998
84,GFS,MCHP,0.7036649798830148
3,ADBE,ADSK,0.7034225986578317
7,ADBE,SNPS,0.7022821216257032
9,ADI,AMD,0.7016392664685035
124,MSFT,NVDA,0.7014887057969647
50,ANSS,SNPS,0.7013183324754411
47,AMD,SNPS,0.7012346246360052
37,AMAT,SNPS,0.7010793207436298
0,AAPL,GOOG,0.7009218102960736
79,CTAS,ROP,0.7000967071156632
