,asset1,asset2,correlation
960,GOOG,GOOGL,0.9976984608252906
331,AMAT,LRCX,0.9283716894116611
329,AMAT,KLAC,0.9170620339329182
1114,KLAC,LRCX,0.9167453531626926
662,CDNS,SNPS,0.9105215036724376
1200,MCHP,NXPI,0.8983082305637163
189,ADI,MCHP,0.8955584952458454
306,AEP,XEL,0.8871886508680932
1211,MCHP,TXN,0.8616775450458859
197,ADI,NXPI,0.8599624249673969
310,AMAT,ASML,0.8554848024465954
531,ASML,KLAC,0.8537072462616458
210,ADI,TXN,0.8527565865432227
533,ASML,LRCX,0.8488268797770491
1202,MCHP,ON,0.8465768372237775
1321,NXPI,ON,0.8414250299124991
236,ADP,PAYX,0.8406664626792179
334,AMAT,MCHP,0.8383513769324845
1117,KLAC,MCHP,0.8281027157526631
1330,NXPI,TXN,0.8244079746904487
341,AMAT,NXPI,0.8182558813609949
385,AMD,NVDA,0.8084687506199668
1150,LRCX,MCHP,0.8083770353548259
903,DDOG,MDB,0.8067674007317414
536,ASML,MCHP,0.8033058894395827
157,ADI,AMAT,0.8020194323397024
199,ADI,ON,0.8005885381762247
786,CRWD,ZS,0.7990303327909724
1125,KLAC,NXPI,0.7951942926097945
184,ADI,KLAC,0.7936940052822509
1135,KLAC,TXN,0.7923583194627544
352,AMAT,TXN,0.7905054898214252
186,ADI,LRCX,0.7887947454558095
1157,LRCX,NXPI,0.788625749232262
1266,MRVL,NXPI,0.7876504428837707
1195,MCHP,MRVL,0.7833324520727057
1166,LRCX,TXN,0.7831306970616191
161,ADI,ASML,0.7815486803608059
545,ASML,NXPI,0.7812201472489877
1121,KLAC,MRVL,0.7777645738878277
343,AMAT,ON,0.777069639220543
1325,NXPI,QCOM,0.7763941372600823
303,AEP,EXC,0.7740114545160901
307,AMAT,AMD,0.7733607533148554
1207,MCHP,QCOM,0.7731734632547164
557,ASML,TXN,0.7724065813578357
340,AMAT,NVDA,0.7699525249367226
204,ADI,QCOM,0.7689195357517603
581,AVGO,MCHP,0.7662914817670049
337,AMAT,MRVL,0.7654178012861808
346,AMAT,QCOM,0.7653885334364879
1227,MDLZ,PEP,0.7644334723033444
1265,MRVL,NVDA,0.7637492699540057
374,AMD,LRCX,0.7618753758387495
381,AMD,MRVL,0.7610435189440623
544,ASML,NVDA,0.7609356883963316
373,AMD,KLAC,0.7606937718058452
1127,KLAC,ON,0.7600315903587614
919,EXC,XEL,0.7583467231167967
1124,KLAC,NVDA,0.7577812251473358
1159,LRCX,ON,0.7570287701765758
576,AVGO,KLAC,0.7564771210557865
1373,QCOM,TXN,0.7563657976005999
357,AMD,ASML,0.7552853302638278
311,AMAT,AVGO,0.7550028926177021
1313,NVDA,SNPS,0.7544046694910114
1161,LRCX,QCOM,0.7543705825105389
582,AVGO,MRVL,0.7540848934913945
1342,ON,TXN,0.7533409102939858
1153,LRCX,MRVL,0.752942453493736
1156,LRCX,NVDA,0.7494964497591857
540,ASML,MRVL,0.7484921470000184
269,ADSK,INTU,0.7463141502940361
446,ANSS,CDNS,0.7451034472797694
1267,MRVL,ON,0.7446566619867822
551,ASML,QCOM,0.7435527278313825
1155,LRCX,MU,0.7430461957692132
547,ASML,ON,0.7423956452174116
1130,KLAC,QCOM,0.7413658450848041
761,CPRT,SNPS,0.7413642675531659
42,AAPL,MSFT,0.7408609443214342
652,CDNS,NVDA,0.7381094945609229
339,AMAT,MU,0.7370138743374314
192,ADI,MRVL,0.7354248089192235
594,AVGO,TXN,0.7351991993593455
246,ADSK,ANSS,0.7338156983262617
578,AVGO,LRCX,0.7335781401055862
1274,MRVL,TXN,0.7322817796050741
586,AVGO,NXPI,0.7320118769179358
997,GOOGL,MSFT,0.7295209969566293
1082,INTU,SNPS,0.7293924336652561
704,CHTR,CMCSA,0.7292633713886731
972,GOOG,MSFT,0.7288810832814644
162,ADI,AVGO,0.7271434040254141
639,CDNS,INTU,0.7245089128430918
1270,MRVL,QCOM,0.7240723879352492
462,ANSS,INTU,0.7231113823642104
1133,KLAC,SNPS,0.7228090532572141
1307,NVDA,NXPI,0.7215114403707591
386,AMD,NXPI,0.7206793906962475
126,ADBE,INTU,0.719433532499817
1199,MCHP,NVDA,0.7190182577527554
627,CDNS,CPRT,0.718197070151644
912,DDOG,TEAM,0.7168231953459041
612,BKNG,MAR,0.7163359150362285
